q3,q4,q5,q6a,q6b,q6c,q6d,q6e,q6f,q6g,q6h,q6i,q6j,q9,q10,q11,q12a,q12b,q12c,q12d,q12e,q12f,q12g,q12h,q13a,q13b,q13c,q13d,q13e,q13f,q13g,q13h,q13i,q13j,q13k,q13l,q13m,q13n,q13o,q13p,q13q,q14,q18a,q18b,q18c,q18d,q18e,q18f,q18g,q18h,q18i,q18j,q18k,q18l,q18m,q18n,q18o,q18p,q18q,q19,q20_1_1,q20_2_1,q27a,q27b
2,2,15,0,0,0,1,0,0,0,1,0,0,6,1,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,5,2,2,0,0
1,1,6,0,0,0,1,0,0,0,0,0,0,6,1,59,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,3,5,9,0,0
1,1,2,0,0,0,1,0,0,0,0,0,0,7,1,42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,2,4,1240,0
1,4,2,1,0,0,0,0,0,0,0,0,0,6,1,29,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,4,6,6,1250,156
2,1,0,1,0,0,0,0,0,0,0,0,0,2,1,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,6,8,1500,0
3,1,1,1,0,0,0,0,0,0,0,0,0,6,1,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1700,0
2,3,0,1,1,1,0,0,0,0,0,0,0,2,1,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,2,1,4,1900,0
1,3,1,0,0,0,0,0,0,0,0,0,1,6,1,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,4,1,5,2000,20
1,3,1,1,0,0,0,0,0,0,0,0,0,6,1,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,2,2000,0
1,3,5,0,0,0,0,0,0,0,0,1,0,6,1,37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,2,8,8,2098,0
1,1,1,1,0,0,0,0,0,0,0,0,0,4,1,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,2,1,2100,100
2,3,3,0,0,0,1,0,0,0,0,0,0,6,1,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,4,3,2,2100,20
2,1,2,0,0,0,1,0,0,0,0,0,0,4,1,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,2,8,8,2150,0
3,1,1,0,0,0,0,0,0,0,0,1,0,6,1,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2200,200
2,3,4,1,0,0,0,0,0,0,0,0,0,6,1,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,8,9,2200,0
2,1,1,1,0,0,0,0,0,0,0,0,0,6,1,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,2,2,2240,160
3,3,1,1,0,0,0,0,0,1,1,0,0,6,1,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2300,100
2,3,3,1,0,0,0,0,0,0,0,0,0,6,2,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,9,2,2350,0
2,3,3,1,0,0,0,0,0,0,0,0,0,6,1,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,2,2,2416,0
2,2,20,1,0,0,0,0,0,0,0,0,0,6,1,47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,4,8,2485,0
3,1,5,1,0,0,0,0,0,0,0,0,0,4,2,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2496,20
3,3,1,0,0,0,0,0,0,0,0,1,0,6,1,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2500,120
1,3,2,0,0,0,0,0,0,0,1,1,0,4,1,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,2,8,2500,300
3,1,3,0,0,0,1,0,0,0,0,0,0,6,1,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2500,195
1,1,18,0,1,0,0,0,0,0,1,0,0,2,1,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,2,2,2500,0
1,1,1,1,0,0,1,0,0,0,0,0,0,6,1,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,5,2550,20
2,3,11,1,0,0,0,0,0,0,0,0,0,6,1,41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,8,8,2550,0
1,3,8,0,0,0,0,0,0,1,0,0,0,6,2,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,5,3,3,2560,0
1,1,10,0,0,1,0,0,0,0,0,0,0,3,1,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,5,5,2600,20
1,3,8,0,1,0,0,0,0,0,0,0,0,4,1,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,5,3,2600,0
3,1,1,1,0,0,0,0,0,0,0,0,0,6,1,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,2600,50
2,3,1,1,0,0,0,0,0,0,0,0,0,6,1,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,3,8,8,2600,0
1,3,3,0,0,0,0,0,0,1,0,0,0,6,1,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,4,3,2,2600,0
2,1,10,0,0,0,0,1,1,0,0,0,0,3,1,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,4,2,9,2600,0
1,1,7,0,0,0,0,0,0,0,0,1,0,1,1,59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,2,2600,0
1,3,3,0,0,0,0,0,0,0,1,1,0,6,1,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4,2,8,2630,0
2,3,1,0,0,0,1,0,0,0,0,1,0,6,1,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,1,9,2650,0
2,1,13,1,0,0,0,0,0,0,0,1,0,6,2,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,3,1,9,2650,0
1,1,1,0,1,0,0,0,0,0,0,0,0,4,1,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,8,2,2699,240
